id,content,metadata,embedding
25.04,Manutenção e conservação de jazigos e cemitérios.,"{""codigo_item"":""25.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
26,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.","{""codigo_item"":""26"",""fonte_legal"":""Lei Complementar 116/2003""}",
26.01,"Serviços de coleta, remessa ou entrega de correspondências, documentos, objetos, bens ou valores, inclusive pelos correios e suas agências franqueadas; courrier e congêneres.","{""codigo_item"":""26.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
27,Serviços de assistência social.,"{""codigo_item"":""27"",""fonte_legal"":""Lei Complementar 116/2003""}",
27.01,Serviços de assistência social.,"{""codigo_item"":""27.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
28,Serviços de avaliação de bens e serviços de qualquer natureza.,"{""codigo_item"":""28"",""fonte_legal"":""Lei Complementar 116/2003""}",
28.01,Serviços de avaliação de bens e serviços de qualquer natureza.,"{""codigo_item"":""28.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
29,Serviços de biblioteconomia.,"{""codigo_item"":""29"",""fonte_legal"":""Lei Complementar 116/2003""}",
29.01,Serviços de biblioteconomia.,"{""codigo_item"":""29.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
3,"Serviços prestados mediante locação, cessão de direito de uso e congêneres.","{""codigo_item"":""3"",""fonte_legal"":""Lei Complementar 116/2003""}",
3.02,Cessão de direito de uso de marcas e de sinais de propaganda.,"{""codigo_item"":""3.02"",""fonte_legal"":""Lei Complementar 116/2003""}",
3.03,"Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza.","{""codigo_item"":""3.03"",""fonte_legal"":""Lei Complementar 116/2003""}",
3.04,"Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza.","{""codigo_item"":""3.04"",""fonte_legal"":""Lei Complementar 116/2003""}",
3.05,"Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário.","{""codigo_item"":""3.05"",""fonte_legal"":""Lei Complementar 116/2003""}",
30,"Serviços de biologia, biotecnologia e química.","{""codigo_item"":""30"",""fonte_legal"":""Lei Complementar 116/2003""}",
30.01,"Serviços de biologia, biotecnologia e química.","{""codigo_item"":""30.01"",""fonte_legal"":""Lei Complementar 116/2003""}",
31,"Serviços técnicos em edificações, eletrônica, eletrotécnica, mecânica, telecomunicações e congêneres.","{""codigo_item"":""31"",""fonte_legal"":""Lei Complementar 116/2003""}",
